"id","Perguntas"
"1","esquema funcionava através da superfaturarão de obras que faziam parte de um programa que tinha como objetivo acelerar o crescimento econômico no País”. Essa descrição corresponde a uma operação criminosa no Brasil. Trata-se da:"
"2","2.Em que ano e onde aconteceu o maior acidente aéreo da história do Brasil?"
"3","os quatros países que têm a maior população carcerária do mundo?"
"4","Qual foi a revolução que alavancou a independência do Brasil e em 2017 completou o segundo centenário?"
"5","Qual a função da ONU?"
"6","Em que governo brasileiro foi sancionada a lei das cotas para o ensino superior?"
"7","Normalmente, quantos litros de sangue uma pessoa tem? Em média, quantos são retirados numa doação de sangue?"
"8","De quem é a famosa frase “Penso, logo existo”?"
"9","De onde é a invenção do chuveiro elétrico?"
"10","Quais são os menores e maiores países do mundo?"
"11","Qual o grupo em que todas as palavras foram escritas corretamente?"
"12","Qual o livro mais vendido no mundo depois da Bíblia?"
"13","Quantas casas decimais tem o número pi?"
"14","Atualmente, quantos elementos químicos a tabela periódica possui?"
"15","Quais os países que têm a maior e a menor expectativa de vida do mundo?"
"16","O que a palavra legend significa em português?"
"17","Qual o número mínimo de jogadores numa partida de futebol?"
"18","Quais os principais autores do Barroco no Brasil?"
"19","Quanto tempo a luz do Sol demora para chegar à Terra?"
"20","Quais são os três predadores do reino animal reconhecidos pela habilidade de caçar em grupo, se camuflar para surpreender as presas e possuir sentidos apurados, respectivamente:"
"21","Qual a altura da rede de vôlei nos jogos masculino e feminino?"
"22","Em que ordem surgiram os modelos atômicos?"
"23","Em que período da pré-história o fogo foi descoberto?"
"24","Qual das alternativas abaixo apenas contêm classes de palavras?"
